show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,TV Show,Forgotten Storm 0,Wei Chen,"Actor A, Actor B, Actor C",United Kingdom,"June 24, 2017",1998,TV-G,2 Seasons,"Crime TV Shows, Anime Series",A gripping tale that follows an unlikely hero through unexpected challenges.
s2,Movie,Bright Harbor 1,Raj Johnson,"Actor A, Actor B, Actor C",,"November 16, 2019",2011,PG,71 min,"Crime TV Shows, Kids' TV",A mystery unfolds in a small town when a stranger arrives.
s3,TV Show,Wild Paradise 2,Liam Smith,"Actor A, Actor B, Actor C",South Korea,"March 2, 2017",2015,TV-MA,8 Seasons,"Sci-Fi & Fantasy, Kids' TV",A mystery unfolds in a small town when a stranger arrives.
s4,Movie,Secret Harbor 3,Emma Tanaka,"Actor A, Actor B, Actor C",Australia,"February 13, 2021",2011,TV-PG,153 min,Sci-Fi & Fantasy,A dark secret from the past threatens to destroy everything.
s5,Movie,Broken Frontier 4,Carlos Johnson,"Actor A, Actor B, Actor C",South Korea,"October 23, 2021",2007,TV-Y,175 min,Romantic Movies,A mystery unfolds in a small town when a stranger arrives.
s6,TV Show,Final Harbor 5,Raj Sharma,"Actor A, Actor B, Actor C",India,"October 18, 2017",2017,R,4 Seasons,"Action & Adventure, Crime TV Shows",A gripping tale that follows an unlikely hero through unexpected challenges.
s7,TV Show,Lost Paradise 6,Wei,"Actor A, Actor B, Actor C",United Kingdom,"July 4, 2018",2006,TV-MA,4 Seasons,Comedies,A dark secret from the past threatens to destroy everything.
s8,TV Show,Silent City 7,Emma,"Actor A, Actor B, Actor C",Germany,"January 6, 2017",2015,TV-14,1 Seasons,Action & Adventure,Friends and family come together to face a life-changing event.
s9,Movie,Secret Harbor 8,Raj Johnson,"Actor A, Actor B, Actor C",India,"December 24, 2019",2009,TV-G,173 min,Crime TV Shows,A dark secret from the past threatens to destroy everything.
s10,Movie,Endless Storm 9,Wei,"Actor A, Actor B, Actor C",Spain,"May 27, 2016",1998,TV-PG,122 min,Sci-Fi & Fantasy,A comedic look at everyday life gone hilariously wrong.
s11,Movie,Wild Garden,Emma,"Actor A, Actor B, Actor C",France,"December 21, 2018",2010,TV-MA,105 min,Stand-Up Comedy,A dark secret from the past threatens to destroy everything.
s12,TV Show,Bright Signal 11,Emma,"Actor A, Actor B, Actor C",France,"November 3, 2019",1999,TV-Y,4 Seasons,"Horror Movies, Action & Adventure",A comedic look at everyday life gone hilariously wrong.
s13,Movie,Midnight Frontier 12,Fatima Johnson,"Actor A, Actor B, Actor C",,"November 17, 2019",2020,PG-13,165 min,Anime Series,A gripping tale that follows an unlikely hero through unexpected challenges.
s14,TV Show,Silent Frontier 13,Raj Smith,"Actor A, Actor B, Actor C",Spain,"September 23, 2019",2012,PG-13,8 Season,"Documentaries, Comedies",An ambitious journey across continents tests the limits of loyalty.
s15,Movie,Golden Kingdom 14,,"Actor A, Actor B, Actor C",Spain,"September 18, 2017",2006,,149 min,Documentaries,A mystery unfolds in a small town when a stranger arrives.
s16,Movie,Endless Harbor 15,Fatima,"Actor A, Actor B, Actor C",France,"July 17, 2020",2009,TV-PG,106 min,Horror Movies,An ambitious journey across continents tests the limits of loyalty.
s17,Movie,Bright Harbor 16,,"Actor A, Actor B, Actor C",France,"January 13, 2020",2012,PG,75 min,Stand-Up Comedy,A comedic look at everyday life gone hilariously wrong.
s18,Movie,Final Kingdom 17,Kenji Johnson,"Actor A, Actor B, Actor C",Australia,"May 7, 2020",2004,TV-Y,171 min,"Sci-Fi & Fantasy, Action & Adventure",An ambitious journey across continents tests the limits of loyalty.
s19,TV Show,Last City 18,,"Actor A, Actor B, Actor C",United States,"September 8, 2018",2004,PG,1 Seasons,"International Movies, Comedies",Friends and family come together to face a life-changing event.
s20,Movie,Hidden Horizon 19,Fatima Garcia,"Actor A, Actor B, Actor C",United Kingdom,"October 21, 2021",2008,TV-14,72 min,"International Movies, Romantic Movies",A dark secret from the past threatens to destroy everything.
s21,TV Show,Secret Harbor 20,Wei Sharma,"Actor A, Actor B, Actor C",Spain,"July 2, 2018",2004,TV-Y,4 Seasons,Documentaries,An ambitious journey across continents tests the limits of loyalty.
s22,Movie,Bright Storm 21,Sofia Johnson,"Actor A, Actor B, Actor C",Spain,"September 3, 2020",2016,TV-Y,105 min,Documentaries,A dark secret from the past threatens to destroy everything.
s23,TV Show,Forgotten Frontier 22,Raj Sharma,"Actor A, Actor B, Actor C",India,"January 11, 2017",2000,TV-14,1 Season,Comedies,Friends and family come together to face a life-changing event.
s24,TV Show,Forgotten Storm 23,Kenji Rossi,"Actor A, Actor B, Actor C",Germany,"June 21, 2017",2017,TV-14,8 Seasons,"Horror Movies, International Movies",A dark secret from the past threatens to destroy everything.
s25,TV Show,Hidden Frontier 24,Carlos Smith,"Actor A, Actor B, Actor C",Japan,"July 18, 2019",2006,TV-Y,8 Seasons,Dramas,Friends and family come together to face a life-changing event.
s26,Movie,Broken Legacy 25,Raj Khan,"Actor A, Actor B, Actor C",United Kingdom,"November 16, 2019",2011,TV-14,130 min,Romantic Movies,A mystery unfolds in a small town when a stranger arrives.
s27,Movie,Silent Echo 26,Carlos Tanaka,Cast info not available,Germany,"April 15, 2020",2001,TV-G,156 min,International Movies,A dark secret from the past threatens to destroy everything.
s28,Movie,Wild City 27,Carlos Chen,"Actor A, Actor B, Actor C",,"March 3, 2017",2007,TV-MA,137 min,"Sci-Fi & Fantasy, Comedies",A mystery unfolds in a small town when a stranger arrives.
s29,Movie,Broken Garden 28,Raj Chen,"Actor A, Actor B, Actor C",South Korea,"May 9, 2021",2016,,118 min,Romantic Movies,Friends and family come together to face a life-changing event.
s30,Movie,Secret Echo 29,Sofia Johnson,"Actor A, Actor B, Actor C",Canada,"March 3, 2017",2004,TV-Y,102 min,International Movies,A dark secret from the past threatens to destroy everything.
s31,TV Show,Broken Paradise 30,Raj Khan,"Actor A, Actor B, Actor C",Canada,"July 21, 2019",2001,R,4 Season,Action & Adventure,A dark secret from the past threatens to destroy everything.
s32,TV Show,Lost Echo 31,Kenji Johnson,"Actor A, Actor B, Actor C",Spain,"August 21, 2021",2010,TV-PG,2 Seasons,Kids' TV,Friends and family come together to face a life-changing event.
s33,Movie,Broken Horizon 32,Fatima Smith,"Actor A, Actor B, Actor C",United States,"October 7, 2019",2001,R,165 min,Action & Adventure,Friends and family come together to face a life-changing event.
s34,Movie,Last Legacy 33,Sofia,"Actor A, Actor B, Actor C",South Korea,"December 8, 2020",2005,TV-Y,81 min,Romantic Movies,Friends and family come together to face a life-changing event.
s35,Movie,Bright Horizon 34,Wei Khan,Cast info not available,United States,"January 9, 2021",2008,TV-Y,80 min,Kids' TV,A gripping tale that follows an unlikely hero through unexpected challenges.
s36,Movie,Midnight City 35,Emma Garcia,"Actor A, Actor B, Actor C",United States,"March 25, 2021",2011,TV-14,79 min,"Action & Adventure, Stand-Up Comedy",An ambitious journey across continents tests the limits of loyalty.
s37,Movie,Bright Signal 36,Emma Rossi,"Actor A, Actor B, Actor C",South Korea,"April 14, 2018",2013,PG-13,157 min,Documentaries,Friends and family come together to face a life-changing event.
s38,Movie,Dark Signal 37,Liam Tanaka,"Actor A, Actor B, Actor C",Australia,"March 21, 2018",2014,,104 min,Documentaries,A dark secret from the past threatens to destroy everything.
s39,Movie,Wild Harbor 38,Sofia Khan,"Actor A, Actor B, Actor C",Brazil,"October 13, 2017",2018,TV-PG,105 min,Comedies,Friends and family come together to face a life-changing event.
s40,Movie,Last Paradise 39,Carlos Garcia,"Actor A, Actor B, Actor C",India,"February 19, 2019",1999,TV-Y,71 min,Romantic Movies,An ambitious journey across continents tests the limits of loyalty.
s41,Movie,Dark Harbor 40,Wei Rossi,"Actor A, Actor B, Actor C",United Kingdom,"January 15, 2021",2006,TV-14,176 min,"Stand-Up Comedy, Documentaries",An ambitious journey across continents tests the limits of loyalty.
